USONRP=,,EURONRP=,,GBONRP=REUT,
Timestamp,Bid Close,Timestamp,Bid Close,Timestamp,Mid Price Close
06-Apr-17,0.99,06-Apr-17,-0.44,06-Apr-17,0.52
05-Apr-17,0.87,05-Apr-17,-0.44,05-Apr-17,0.52
04-Apr-17,0.88,04-Apr-17,-0.44,04-Apr-17,0.52
03-Apr-17,0.85,03-Apr-17,-0.42,03-Apr-17,0.52
31-Mar-17,0.96,31-Mar-17,-0.42,31-Mar-17,0.52
30-Mar-17,0.9,30-Mar-17,-0.5,30-Mar-17,0.52
29-Mar-17,0.82,29-Mar-17,-0.42,29-Mar-17,0.52
28-Mar-17,0.82,28-Mar-17,-0.42,28-Mar-17,0.52
27-Mar-17,0.79,27-Mar-17,-0.42,27-Mar-17,0.52
24-Mar-17,0.84,24-Mar-17,-0.4,24-Mar-17,0.52
23-Mar-17,0.8,23-Mar-17,-0.4,23-Mar-17,0.52
22-Mar-17,0.82,22-Mar-17,-0.42,22-Mar-17,0.52
21-Mar-17,0.77,21-Mar-17,-0.42,21-Mar-17,0.52
20-Mar-17,0.77,20-Mar-17,-0.42,20-Mar-17,0.52
17-Mar-17,0.77,17-Mar-17,-0.42,17-Mar-17,0.52
16-Mar-17,0.68,16-Mar-17,-0.42,16-Mar-17,0.52
15-Mar-17,0.63,15-Mar-17,-0.43,15-Mar-17,0.52
14-Mar-17,0.64,14-Mar-17,-0.43,14-Mar-17,0.52
13-Mar-17,0.54,13-Mar-17,-0.43,13-Mar-17,0.52
10-Mar-17,0.49,10-Mar-17,-0.43,10-Mar-17,0.52
09-Mar-17,0.53,09-Mar-17,-0.43,09-Mar-17,0.52
08-Mar-17,0.52,08-Mar-17,-0.43,08-Mar-17,0.52
07-Mar-17,0.53,07-Mar-17,-0.43,07-Mar-17,0.52
06-Mar-17,0.53,06-Mar-17,-0.43,06-Mar-17,0.52
03-Mar-17,0.54,03-Mar-17,-0.43,03-Mar-17,0.52
02-Mar-17,0.6,02-Mar-17,-0.43,02-Mar-17,0.52
01-Mar-17,0.52,01-Mar-17,-0.43,01-Mar-17,0.52
28-Feb-17,0.62,28-Feb-17,-0.43,28-Feb-17,0.52
27-Feb-17,0.56,27-Feb-17,-0.41,27-Feb-17,0.52
24-Feb-17,0.52,24-Feb-17,-0.42,24-Feb-17,0.52
23-Feb-17,0.54,23-Feb-17,-0.42,23-Feb-17,0.52
22-Feb-17,0.52,22-Feb-17,-0.42,22-Feb-17,0.52
21-Feb-17,0.55,21-Feb-17,-0.42,21-Feb-17,0.52
17-Feb-17,0.52,20-Feb-17,-0.42,20-Feb-17,0.52
16-Feb-17,0.45,17-Feb-17,-0.42,17-Feb-17,0.52
15-Feb-17,0.6,16-Feb-17,-0.42,16-Feb-17,0.52
14-Feb-17,0.6,15-Feb-17,-0.42,15-Feb-17,0.52
13-Feb-17,0.56,14-Feb-17,-0.42,14-Feb-17,0.52
10-Feb-17,0.64,13-Feb-17,-0.42,13-Feb-17,0.52
09-Feb-17,0.67,10-Feb-17,-0.42,10-Feb-17,0.52
08-Feb-17,0.59,09-Feb-17,-0.42,09-Feb-17,0.52
07-Feb-17,0.45,08-Feb-17,-0.42,08-Feb-17,0.52
06-Feb-17,0.59,07-Feb-17,-0.42,07-Feb-17,0.52
03-Feb-17,0.6,06-Feb-17,-0.42,06-Feb-17,0.52
02-Feb-17,0.62,03-Feb-17,-0.42,03-Feb-17,0.52
01-Feb-17,0.6,02-Feb-17,-0.42,02-Feb-17,0.52
31-Jan-17,0.72,01-Feb-17,-0.42,01-Feb-17,0.52
30-Jan-17,0.63,31-Jan-17,-0.42,31-Jan-17,0.52
27-Jan-17,0.58,30-Jan-17,-0.43,30-Jan-17,0.52
26-Jan-17,0.3,27-Jan-17,-0.43,27-Jan-17,0.52
25-Jan-17,0.63,26-Jan-17,-0.43,26-Jan-17,0.52
24-Jan-17,0.6,25-Jan-17,-0.43,25-Jan-17,0.52
23-Jan-17,0.54,24-Jan-17,-0.43,24-Jan-17,0.52
20-Jan-17,0.53,23-Jan-17,-0.43,23-Jan-17,0.52
19-Jan-17,0.61,20-Jan-17,-0.42,20-Jan-17,0.52
18-Jan-17,0.69,19-Jan-17,-0.41,19-Jan-17,0.52
17-Jan-17,0.78,18-Jan-17,-0.41,18-Jan-17,0.52
13-Jan-17,0.78,17-Jan-17,-0.41,17-Jan-17,0.52
12-Jan-17,0.65,16-Jan-17,-0.41,16-Jan-17,0.52
11-Jan-17,0.6,13-Jan-17,-0.41,13-Jan-17,0.52
10-Jan-17,0.53,12-Jan-17,-0.41,12-Jan-17,0.52
09-Jan-17,0.47,11-Jan-17,-0.41,11-Jan-17,0.52
06-Jan-17,0.63,10-Jan-17,-0.41,10-Jan-17,0.52
05-Jan-17,0.62,09-Jan-17,-0.41,09-Jan-17,0.52
04-Jan-17,0.68,06-Jan-17,-0.41,06-Jan-17,0.52
03-Jan-17,0.8,05-Jan-17,-0.41,05-Jan-17,0.52
